id,city,country,fullStreetAddress,postalCode,stateOrProvince,unitNumber,bathrooms,bedrooms,listingDescription,listingTitle,latitude,longitude,listPrice,livingArea,livingAreaUnit,yearBuilt,lotSize,lotSizeUnit,propertySubType,listingCategory,numParkingSpaces,createdAt,geocodioAccuracyScore,photoscount,grade
2697594,Coral Springs,US,8700 NW 38th Dr,33065,FL,3,3,2,"PRICE REDUCED-**NO RENTAL RESTRICTIONS-- EXCELLENT INVESTMENT POTENTIAL** THIS ENORMOUS 2/2.5 CORNER TOWNHOUSE-STYLE CONDO FEATURES 1377 SQUARE FEET OF LIVING AREA, LARGE BACKYARD/PATIO AREA AND BALCONIES FROM EACH OF THE BEDROOMS. **BRAND NEW ROOF** ONLY 5 UNITS MAKE UP THIS BOUTIQUE COMPLEX GIVING YOU PRIVACY AND THERE ARE 10 PARKING SPOTS FOR THE 5 UNITS! UNIT NEEDS LOTS OF WORK BUT HAS INCREDIBLE POTENTIAL WITH LARGE LIVING AND DINING ROOMS EACH OFFERING A BALCONY DOOR TO THE BACK AREA, OPEN KITCHEN WITH BAR, LARGE UTILITY ROOM, LARGE STORAGE AREA UNDER STAIRCASE AND TONS OF NATURAL LIGHTING.. ONCE FIXED UP, IT CAN BE RENTED FOR $1600-1700+. LOW HOA OF $250 WHICH INCLUDES WATER/TRASH/EXTERIOR INSURANCE, ROOF & MORE!!CASH ONLY!! PROPERTY ONCE FIXED UP IS WORTH 170-180K.","Townhouse Condo, Condo/Co-op/Villa/Townhouse - Coral Springs, FL",,,109990,1377,squareFoot,1984,,squareFoot,Condominium,Purchase,0,2019-02-21 14:46:26.755+00,,29,awesome
2697536,Coral Springs,US,5436 NW 121st Ave,33076,FL,,3,4,"Beautiful two story house with 3 Bedrooms + 1 Office room downstairs but can be used as bedroom, with french door & Full bathroom downstairs, total 3 bathrooms in house. 
House comes with brand new flooring, brand new appliances, Newly painted & very well maintained- managed property, 3 car garage + extra 3-4 cars can be seated easily on driveway, very safe gated community with best schools in town.  Perfect house for rent for big family. 
Large living room & separate family room. Family room gets beautiful pool view which has Jacuzzi too. Sit in patio to enjoy pool view & water view. 

Upstairs split bedrooms plans. Large master bedroom with loft or play area which can be converted to media room.","Residential Rental, Single Family-annual - Coral Springs, FL",,,3000,,squareFoot,2000,6969.6,squareFoot,Single Family Detached,Rent,3,2019-02-21 14:45:55.769+00,,29,awesome
2697492,Surfside,US,9001 Collins Ave,33154,FL,S-1010,3,2,"Enjoy FOUR SEASONS LIVING & EXPERIENCE THE ART OF HOSPITALITY in this spacious 2-bedroom split floor plan Bayfront residence with breathtaking sunset vistas of Biscayne Bay&Indian Creek. This brand new, never-lived-in residence is furniture-ready & features close to 2,500sf of total space. Features: Italian Travertine flooring throughout, custom-designed shade pockets, ""lift & glide"" terrace doors, Richard Meier&Boffi-designed kitchen cabinetry, Corian countertops w/seamless monolithic sinks, Sub-Zero&Miele integrated appliance package, 5 burner gas cooktop, level five wall finishes, laundry room, dedicated service elevator, chilled water-air-conditioning system, multi-zone climate controlled system, bathrooms: Duravit & Dornbracht fixtures, freestanding tub, white marble floor & walls.","Condo/Co-op/Villa/Townhouse, Condo 5+ Stories - Surfside, FL",,,3995000,1882,squareFoot,2017,,squareFoot,Condominium,Purchase,0,2019-02-21 14:45:27.091+00,,29,awesome
2697491,Miami,US,3370 SW 107th Ave,33165,FL,,2,4,"Tremendous Opportunity in Prime Westchester Location.  Spacious Pool Home with lots of potential.  Plenty of space for parking.  Make this one your Dream Home.  Close to Schools, Shopping, Restaurants and All major transportation.  Easy to show and easy to sell.  Don't miss out on this one.","Pool Only, Single Family - Miami, FL",,,374000,1994,squareFoot,1986,7405.2,squareFoot,Single Family Detached,Purchase,0,2019-02-21 14:45:26.407+00,,29,awesome
2697464,Miami,US,14300 SW 121st Pl,33186,FL,7,3,3,"Location!Location!Location! Bright and beautiful upgraded 2 story townhouse, 3 BED / 2.5 Bath, remodeled master bath and kitchen with quartz countertops, tile on the first floor and brand new laminate upstairs, built attic/storage, laundry room, gated community with swimming pool, close to Turnpike, shopping, schools, supermarkets, Zoo Miami and much more. Renter insurance required, No pets allowed, Ready to move in.","Residential Rental, Townhouse/Villa-annual - Miami, FL",,,1750,,squareFoot,1996,,squareFoot,Townhouse,Rent,0,2019-02-21 14:45:16.766+00,,29,awesome
2697341,Miami Beach,US,5875 Collins Ave,33140,FL,804,2,1,"Enjoy spectacular ocean and city views from the large private balcony of this Mei Condo 1 bedroom, 1.5 bathrooms condo. The apartment is turn key with high-end appliances. This Asian inspired building offers residents a luxurious combination of spa amenities and beachfront living. Amenities include a fitness center, steam room, clubhouse, massage rooms, beach, and pool service, a library, round the clock front door service, valet, concierge, security monitored access, and a business center","Condo/Co-op/Villa/Townhouse, Condo 5+ Stories - Miami Beach, FL",,,615000,778,squareFoot,2008,,squareFoot,Condominium,Purchase,1,2019-02-21 14:43:42.203+00,,29,awesome
2697334,Miami,US,1780 Wa Kee Na Dr,33133,FL,,3,3,"Impeccable turn key home in North Grove. Corner lot with mature oaks, completely updated! Large master bedroom,ample  master bath, huge walk in closet plus office/den addition.Walled in home offers great outdoor areas for entertaining.Eat in kitchen features white quartz counter-tops, a DCS gas range, Miele dishwasher and Viking refrigerator.A den welcomes you into the Master Suite, air conditioning, audio visual components and window treatments are controlled through a Crestron remote control system. A walk-in closet approximately 150 sq. ftss Large storage space accessible by Rainbow retractable ladder.The two additional bedrooms share a large bathroom with double sinks, glass shower enclosure, stunning marble floors and plenty of closet space impact windows and french doors throughout.","R30-no Pool/No Water, Single Family - Miami, FL",,,1225000,2399,squareFoot,1954,6534,squareFoot,Single Family Detached,Purchase,0,2019-02-21 14:43:41.94+00,,29,awesome
2697288,Miami Beach,US,753 Michigan Ave,33139,FL,2D,1,1,"Rent this cute and super cozy 1bed/1bath unit close to the beach and everything South Beach has to offer!!! About seven minutes walk to the beach!!! Very quiet street!!! New hurricane windows, New AC!!! Pets Friendly!!! Has its own assigned parking!!!
$100.00 pet deposit.
*Application for Association is attached*","Residential Rental, Condo/Co-op/Annual - Miami Beach, FL",,,1350,,squareFoot,1976,,squareFoot,Condominium,Rent,1,2019-02-21 14:42:38.12+00,,29,awesome
2697218,Coral Springs,US,331 NW 107th Avenue,33071,FL,,2,4,"Reduced and Back on Market! Motivated! Beautiful turnkey home. This home sits on a beautifully landscaped 9,000+sq ft Lot with a newly resurfaced deck and POOL!! Once you enter you will see the open floor plan with so much natural light! Lovely view of the patio and pool from the kitchen, family room and Master bedroom. All tile and laminate flooring updated. Other Updates include NEW A/C, NEW hot water heater, NEW bathrooms and NEW Gorgeous Kitchen remodel. This home features an  Eat in kitchen, separate dining and NEW washer & dryer with an indoor laundry and NEW  knockdown paint on walls and ceiling. Recent inspection has been done to ensure everything is perfect! NO HOA!Walk to place of worship, A+ schools and parks. Very close to highways for easy travel! Make this  your home TODAY","Pool Only, Single Family - Coral Springs, FL",,,415000,2310,squareFoot,1984,,squareFoot,Single Family Detached,Purchase,2,2019-02-21 14:41:44.585+00,,29,awesome
2697153,Sunrise,US,8520 NW 26th St,33322,FL,,2,4,"Great property for a large family. Spacious home,  4 bedrooms plus den, 2 bathrooms, living room, dinning room, family room, newer kitchen cabinets with granite counter top, screened porch and one car garage.  House was remodeled and expanded in 2003. New two A/C Units (2017),new roof (2017), newer windows (2003), hurricane panels (2003), refrigerator (2017), dishwasher (2017). Large fenced backyard and circular driveway.","R30-no Pool/No Water, Single Family - Sunrise, FL",,,379900,2242,squareFoot,1973,6098.4,squareFoot,Single Family Detached,Purchase,1,2019-02-21 14:41:43.358+00,,29,awesome
2697126,Pompano Beach,US,3010 N Course Dr.,33069,FL,812,2,3,"COMPLETELY REMODELED kitchen and bathrooms in this very spacious 3/2 CORNER UNIT on the 8th floor of Palm Aire. Gorgeous WATER VIEWS from EVERY window - these photos just don't capture how fantastic the views are! NO POPCORN - knockdown ceilings throughout! Kitchen has NEW stainless steel appliances, NEW kitchen cabinets and NEW tile back splash. NEW Granite counter tops with extra large peninsula - perfect for bar stools. BOTH bathrooms COMPLETELY updated with NEW flooring, modern mirrors and granite top vanities. 8x16 ft screened in patio overlooks lake, just redone with new paint and railings. Large master bedroom bathed in natural light, complete with built in make-up table/desk. Property is totally ready to go!","Condo/Co-op/Villa/Townhouse, Condo 5+ Stories - Pompano Beach, FL",,,228000,1390,squareFoot,1972,,squareFoot,Condominium,Purchase,0,2019-02-21 14:41:37.723+00,,29,awesome
2697005,Sunrise,US,2801 N Pine Island Rd,33322,FL,201,2,2,"Great 2/2 corner unit with a beautiful view of the lake in a centrally located area in Sunrise.  New renovated!!! New kitchen, bathrooms and new flooring. READY TO BE MOVED INTO!!!!","Condo/Co-op/Villa/Townhouse, Condo 1-4 Stories - Sunrise, FL",,,85900,850,squareFoot,1975,,squareFoot,Condominium,Purchase,0,2019-02-21 14:37:43.188+00,,29,awesome
2696974,Miami,US,15207 SW 112 PL,33157,FL,,2,2,"Come say hello to your new home this Sunday from 2 to 5 pm. You will certainly fall in love with this meticulously maintained home in Sunny Garden Estates. This 2 bedroom and 2 bathroom gem have been recently renovated. Some key features include; home has been freshly painted, bathroom recently remodeled, updated kitchen granite and backsplash, A/C is less than two years old, and new tile floors. Association has redone streets, installed new street lights, redone sidewalk & maintains nearby children's park. NEAR Turnpike Hwy, Miami ZOO & Hospital. Call for an appointment to see this beauty today. Won't Last. FHA OK.","R30-no Pool/No Water, Single Family - Miami, FL",,,265000,1304,squareFoot,1984,4791.6,squareFoot,Single Family Detached,Purchase,0,2019-02-21 14:37:35.797+00,,29,awesome
2696672,Aventura,US,3401 N Country Club Dr,33180,FL,EI118,2,2,"COMPLETELY REMODELED WITH CERAMIC FLOORS THROUGHOUT THE APT. NEW CABINETRY & SS APPLIANCES IN THE KITCHEN. CROWN MOLDING, NEW LIGHT FIXTURES, GREAT UNIT TO SHOW, VACANT, EASY TO SHOW!
Boutique building in Aventura walking distance to the Waterways Shops, Whole Foods, Best Buy and target.  Very low monthly maintenance fee's.","Condo/Co-op/Villa/Townhouse, Condo 5+ Stories - Aventura, FL",,,227000,1081,squareFoot,1971,,squareFoot,Condominium,Purchase,1,2019-02-21 14:31:53.868+00,,29,awesome
2696669,Aventura,US,2000 Island Blvd,33160,FL,805,2,2,"Owner motivated. Very bright 2 Bedroom 2 Bath Condo with wonderful water sounds from the fountains below. A peaceful view of the palm trees, canal, pool and fountains, make it extremely relaxing. Experience the Luxurious Williams Island Life Style! The lobby was just redone by Prestigious designer Fanny Haim. Enjoy the natural light and beautiful view all day. Spacious apartment located on a private island. Calm and secured neighborhood with A+ schools, Aventura Mall, supermarkets, bars & restaurants. Exclusive location close to parks. Come and see this bright 2 bed 2 bath apartment located in one of the most spectacular islands in Aventura, Williams Island. *a storage bin and bicycle storage included* Walking distance to house of Worship.","Condo/Co-op/Villa/Townhouse, Condo 5+ Stories - Aventura, FL",,,360000,1750,squareFoot,1995,,squareFoot,Condominium,Purchase,1,2019-02-21 14:31:53.617+00,,29,awesome
2696650,Doral,US,7444 NW 99th Pl,33178,FL,,5,5,"Beautiful CORNER HOME ON MODERN 60 and Priced BELOW MARKET- Model A is BEST LAY OUT-  Spacious and Bright!  Pool and Barbecue area ! ALL you wish for your family is here..  Each bedroom has its private bathroom. Second bedroom with huge lanai on second floor. Featuring an open floor plan on the first floor with elegant interior architectural details, 12' ceilings, impact windows & doors throughout,  kitchen with Italian cabinetry, quartz counter tops, top of the line SS appliances, smart home technology.  The complex has an elegant club house with Pool, Jacuzzi, Gym and much more!  COME SEE IT AND MAKE YOUR OFFER!!!","Pool Only, Single Family - Doral, FL",,,855000,4309,squareFoot,2017,5227.2,squareFoot,Single Family Detached,Purchase,4,2019-02-21 14:31:16.715+00,,29,awesome
2696607,Miami Gardens,US,3290 NW 169th Ter,33056,FL,,3,4,"Beautiful all new remodeled 4/2.5 home. Brand new roof installed December 2018. Home features a open floor plan and  large den for entertaining, new custom kitchen with granite countertops, new stainless steel appliances, new restrooms, new light fixtures, new laminate wood floors, new tankless water heater, new central AC system, and new landscaping. Huge custom master suite with walk-in closet. Separate room for laundry and accordion shutters. Parking for a boat or RV. Minutes from all major highways, and shopping centers. Look no further after seeing this property. Won't last!","R30-no Pool/No Water, Single Family - Miami Gardens, FL",,,320000,1921,squareFoot,1955,8276.4,squareFoot,Single Family Detached,Purchase,2,2019-02-21 14:29:44.764+00,,29,awesome
2696535,Miami Beach,US,100 Lincoln Rd,33139,FL,908,2,1,"Enjoy Direct unobstructed Ocean Views and City views.  There is no better location than this Iconic Miami Beach Oceanfront building, where Collins Avenue and Lincoln Road intersect. Beautiful unit with brand new high-impact windows and doors, full-size washer and dryer and brand new A/C. Tile flooring throughout, granite countertops. Large open terrace with  panoramic ocean views. Included in maintenance at no additional charge are cable, Internet, Wi-Fi, A/C and Water ( over $350 in savings monthly). Amenities include remodeled fitness center, Olympic size swimming pool and tanning deck. Direct access to the beach and right on the world renown Lincoln Road, an outdoor mecca of retail, restaurants and entertainment. No need for a car . Min 30 days rentals allowed. Excellent for investors.","Condo/Co-op/Villa/Townhouse, Condo 5+ Stories - Miami Beach, FL",,,552000,865,squareFoot,1965,,squareFoot,Condominium,Purchase,1,2019-02-21 14:28:47.432+00,,29,awesome
2696520,Miami,US,31 SE 5th,33131,FL,1210,2,2,"Brickel attractive lifestyle at  5 star building, in this unit very private, beautiful, spacious 2/2 in the heart of Brickell on the River is surrounded by Miami's best dining,all restaurants, shopping, entertainment scenes, walk every where including Brickell, City Center, Mary Brickell Village, Metro Mover right outside, walking to Brickell Financial Center. Gourmet  European kitchen, granite Counter-top, top of the line appliances, 24/7 Lobby attendant, 2 large swimming pools, 2 story fitness Center overlooking  the River, Business Center, State of the art GYM, full service Concierge, BBQ area, Jacuzzi for his and hers. short walk to people mover.","Residential Rental, Apartments-annual - Miami, FL",,,2700,,squareFoot,2006,1306.8,squareFoot,Apartment,Rent,1,2019-02-21 14:28:18.113+00,,29,awesome
2696463,Coconut Grove,US,2831 S BAYSHORE DR,33133,FL,1202,2,2,"Park Grove Spectacular 2/2 unit with Oversized Balcony overlooking Biscayne Bay. Newly built Development in the Heart of Coconut Grove emphasizes luxury living and first class amenities in a very tranquil design environment that provides residents with a unique Experience. Designed by Pritzker Price winning architect Rem Koolhaas/OMA and landscape designer Enzo Enea, Park Grove is definitely Grove Luxury Living at its Best !","Residential Rental, Condo/Co-op/Annual - Coconut Grove, FL",,,5500,,squareFoot,2018,,squareFoot,Condominium,Rent,1,2019-02-21 14:27:20.709+00,,29,awesome
2696369,Homestead,US,2214 NE 41st Ave,33033,FL,,3,4,"Beautifully maintained 4 Bedroom, 2 Bathroom Home with the sought after Waterstone community in Homestead! Home offers tons of natural lighting and open space, 2-car garage, accordion shutters, and a spacious fenced patio with serene canal views. Master bedroom is downstairs and the rest of the rooms are upstairs. Tons of amenities include: olympic size pool, kiddy pools, playgrounds, jacuzzis, clubhouse with WiFi access, gym,game rooms, bbq grills, and more! See it, love it, Buy it!","Wf/No Ocean Access, Single Family - Homestead, FL",,,293000,2513,squareFoot,2003,4791.6,squareFoot,Single Family Detached,Purchase,2,2019-02-21 14:25:17.776+00,,29,awesome
2696296,Hialeah,US,18853 NW 77th Ct,33015,FL,,2,4,"Lovely single-family home for a large family that includes a private entrance to an in-law quarters and a large terrace overlooking a privately access water front canal. This home sits in the well-maintained community of Esplanade and includes 3 beds, 2 baths in the main house and a private entrance to a master bed and bath.  This home offers a great open layout, large living room, spacious bedrooms, very nice kitchen, ample cabinet space, large master suite with walk-in closet, accordion shutters, utility with washer and dryer and 2 door garage. Additional amenities include a clubhouse with pool, beautiful park with a tennis court. This property is located in a prime location with everything you need in close proximity! Just minutes away from great schools, shopping centers and highways.","Wf/No Ocean Access, Single Family - Hialeah, FL",,,450000,2007,squareFoot,1987,4791.6,squareFoot,Single Family Detached,Purchase,2,2019-02-21 14:24:24.899+00,,29,awesome
2696238,Miami,US,8430 NW 32nd Ct,33147,FL,,1,3,"Beautiful 3 bedroom, 1 bathroom house in Miami! This charming abode offers a wonderfully cozy layout, nice living and kitchen space, stainless steel appliances, spacious bedrooms, freshly painted throughout with a BRAND NEW ROOF and AIR CONDITIONER. Large fenced backyard with room for pool. Great space for kids to run and play or for gatherings with family and friends! Located in an amazingly convenient location just around the block from the elementary and middle schools, shopping centers, major roads, parks, and much more! This is an awesome chance to own the place you and your family call home!","R30-no Pool/No Water, Single Family - Miami, FL",,,279400,1071,squareFoot,1953,8712,squareFoot,Single Family Detached,Purchase,0,2019-02-21 14:23:23.034+00,,29,awesome
2696235,Hialeah,US,17618 NW 62nd Pl N,33015,FL,,2,3,"Great 3 bedroom, 2 bathroom house in the Moors! This property is a great starter home as it offers an appealing layout with a large living room, Florida room, spacious bedrooms, walk in closets, great kitchen with granite counter tops, wooden cabinetry, counter-top glass stove, and wall oven, nice backyard with a screened patio and open space for kids to play! With your final touches this house can be the home of your dreams! Located in an awesome gated community, 24-7 secured, police patrol, tennis and basketball courts, pool, clubhouse and management on-site! Incredible area with everything you need nearby from amazing restaurants, great schools, Palmetto Expy, and just down the street from Miami Lakes Main Street where you have movies, parks, and plenty to do!","R30-no Pool/No Water, Single Family - Hialeah, FL",,,314900,2693,squareFoot,1984,4356,squareFoot,Single Family Detached,Purchase,1,2019-02-21 14:23:21.272+00,,29,awesome
2696217,Palmetto Bay,US,7740 SW 183 Terrace,33157,FL,,3,5,"Beautifully updated 5 bedroom 3 bath home sits on a 1 Acre lot.  Porcelain floors throughout,quartz kitchen and bathroom countertops and stainless steel appliances. Vaulted ceilings in family and living room. Windows and doors are impact. Adjacent to community tennis courts, on a cul-de-sac, and next to Palmer Trinity School.  HOA is voluntary. Turn key property.","Pool Only, Single Family - Palmetto Bay, FL",,,949000,5414,squareFoot,1980,41382,squareFoot,Single Family Detached,Purchase,2,2019-02-21 14:23:08.019+00,,29,awesome
2696170,Hollywood,US,5300 Washington St,33021,FL,T326,2,2,"Fully Furnished 2 bedroom 2 bath Condo. Screened in patio. Immaculately  kept gated community.  Amenities include heated pools, Newly renovated BBQ & Picnic area, Library, Pool tables, Card room, Gym, and Clubhouse.Common Laundry room. FREE Shuttle bus  to Market and local Shopping Center. Social activities include Dances, Bingo, Card, and much more!. Great for SNOWBIRDS!","Condo/Co-op/Villa/Townhouse, Condo 1-4 Stories - Hollywood, FL",,,125000,1078,squareFoot,1972,,squareFoot,Condominium,Purchase,0,2019-02-21 14:22:12.441+00,,29,awesome
2696160,Miami,US,15065 SW 108 TE,33196,FL,,3,4,"BREATH-TAKING TWO STORY HOME WITH VIEW IN A QUIET GATED COMMUNITY, ACCORDION SHUTTERS, ""A"" GRADE SCHOOLS, ACCESS TO MULTIPLE POOLS, TENNIS COURT, GYM AND MORE..... BEAUTIFUL PLACE TO LIVE!","Residential Rental, Single Family-annual - Miami, FL",,,2575,,squareFoot,1989,,squareFoot,Single Family Detached,Rent,2,2019-02-21 14:22:07.332+00,,29,awesome
